,topic,link,replies,views
31511,[scratchblocks] OFFICIAL testing topic,/discuss/topic/14778/,7851,256874
10653,Official [scratchblocks] testing topic,/discuss/topic/273387/,5545,141339
10600,Official [scratchblocks] testing topic,/discuss/topic/273387/,5545,141198
10673,List of Helpful Topics for Scripting,/discuss/topic/1046/,1040,104200
10620,List of Helpful Topics for Scripting,/discuss/topic/1046/,1040,104190
25330,[scratchblocks] OFFICIAL testing topic,/discuss/topic/219704/,2564,86296
40528,How do i make walls that sprites cant go through,/discuss/topic/6823/,75,79139
40465,How do i make walls that sprites cant go through,/discuss/topic/6823/,75,79109
42274,How do I get game over on my game?,/discuss/topic/5696/,55,73516
45426,How to hack your own magic custom blocks,/discuss/topic/1810/,371,60796
37086,How to make a Five Nights at Freddy's game [TUTORIAL],/discuss/topic/97544/,372,54614
0,Official [scratchblocks] testing topic 2,/discuss/topic/374997/,5381,47342
38334,Changing Backgrounds and Levels,/discuss/topic/8617/,22,47242
5,How to make a better project.,/discuss/topic/11969/,161,46152
44253,How do you make your sprite go up and down?,/discuss/topic/58108/,7,41243
45653,Make a sprite follow another sprite,/discuss/topic/66190/,12,39802
45576,Make a sprite follow another sprite,/discuss/topic/66190/,12,39793
12414,How to reset the sprites,/discuss/topic/21242/,47,38941
37585,How to make your sprite move left and right,/discuss/topic/21710/,33,38823
36496,How do you make a sprite move around randomly?,/discuss/topic/72944/,35,37644
36446,How do you make a sprite move around randomly?,/discuss/topic/72944/,35,37639
40602,how do i make a solid block that sprites cant pass through,/discuss/topic/8416/,41,36479
37248,"If Touch, Bounce off Object Script??",/discuss/topic/65614/,48,34555
32590,How do you end a game with a point total,/discuss/topic/19574/,30,31764
37839,How to make a sprite shoot projectiles,/discuss/topic/99762/,9,30321
34879,How do you display text on the screen without using a say block?,/discuss/topic/4650/,20,30272
41328,How do I make a sprite hide when it is touched by another sprite,/discuss/topic/6598/,55,30227
46235,How do I stop the timer at the end of a game?,/discuss/topic/6457/,16,27686
1981,Cloud Bug Please Help !,/discuss/topic/419822/,12,26199
50385,How to make a sprite ask a question related to the answer??,/discuss/topic/6486/,25,25412
50308,How to make a sprite ask a question related to the answer??,/discuss/topic/6486/,25,25398
21979,Making A Sprite Jump Smoothly,/discuss/topic/287687/,5,25338
33112,Restart Button project/Scripts help,/discuss/topic/68354/,17,24375
39688,How Do You Jump And Move At The Same Time???,/discuss/topic/5007/,19,23515
39356,Text Box adding to a game,/discuss/topic/15816/,20,23211
39293,Text Box adding to a game,/discuss/topic/15816/,20,23204
42162,How to make Sprites Move Smoothly,/discuss/topic/40437/,30,23180
42141,How to make Sprites Move Smoothly,/discuss/topic/40437/,30,23177
2,Other Places/Methods to Receive Scripting Help (Updated),/discuss/topic/267561/,187,22149
5882,Tutorial: Smooth Movement,/discuss/topic/94726/,50,21822
31086,How do I make a sprite disappear when another sprite touches it?,/discuss/topic/123508/,6,21480
24299,Official [scratchblocks] testing topic,/discuss/topic/265954/,561,20962
24226,Official [scratchblocks] testing topic,/discuss/topic/265954/,561,20946
51751,How do you make things fall randomly from different places?,/discuss/topic/6819/,2,20664
33539,How do I get sprites to automatically start at their beginning?,/discuss/topic/15510/,31,20486
37883,"How do you make your sprite move up, down, left, right gracefully?",/discuss/topic/40572/,48,20156
46499,How do I turn a sprite around?,/discuss/topic/16169/,8,20075
41743,Collision Detection,/discuss/topic/7949/,7,20037
40730,Mirror image and rotating in either direction,/discuss/topic/23063/,6,19630
30324,"Two sprites, each sensing touch from the other",/discuss/topic/15255/,52,18523
34505,How to make the enemy of your game automatically shoot??,/discuss/topic/21891/,22,18117
34446,How to make the enemy of your game automatically shoot??,/discuss/topic/21891/,22,18116
48961,•••••SCRATCH SCHOOL•••••,/discuss/topic/16667/,304,17950
45204,Need Help - How to make scrolling background,/discuss/topic/5463/,12,17815
49970,how to make a high score that changes whenever someone beats it.,/discuss/topic/20836/,8,17741
43671,How do I make an online multiplayer game?,/discuss/topic/24838/,119,17422
50004,How do I reset the project back to the beginning,/discuss/topic/9919/,6,17057
42655,Scripts Workshop - Give and get help with scripts,/discuss/topic/8310/,235,17013
25341,Stopping Timer,/discuss/topic/19585/,48,16904
38779,If(touching) not working,/discuss/topic/14843/,11,16865
47844,How to make sliders in Scratch?!?!?!,/discuss/topic/2117/,39,16540
32499,How to do a Music Loop.,/discuss/topic/113996/,11,16503
40138,Game Over,/discuss/topic/5326/,21,16102
27718,How do you make it where if you touch the edge/sprite it will send you you to another background?,/discuss/topic/17548/,43,16075
43686,Turbo Mode,/discuss/topic/14718/,15,16005
38006,Restarting a game,/discuss/topic/25532/,14,15966
37967,Restarting a game,/discuss/topic/25532/,14,15962
40577,Is there any way to delete variables?,/discuss/topic/8044/,37,15783
41606,How do I make a Five Nights At Freddy's type game?,/discuss/topic/82126/,54,15754
35150,How do I make a sprite appear at a random point?,/discuss/topic/27060/,20,15682
22712,How to make a sprite move in a circle?,/discuss/topic/33349/,29,15672
38194,How do you make sprites bounce?,/discuss/topic/15755/,19,15604
40890,How do you create a moving background?,/discuss/topic/127958/,10,15600
23196,"How do I compare 3 numbers to find the largest, smallest and middle number?",/discuss/topic/111918/,11,15582
40818,How do you create a moving background?,/discuss/topic/127958/,10,15572
44053,How do I get sprites to fall from the top of the screen?,/discuss/topic/22912/,13,15275
4,☛ Welcome to Help with Scripts!!! ☚,/discuss/topic/233605/,24,15178
36106,How to show sprites on certain backdrops,/discuss/topic/112310/,17,15141
27962,Make sprite move faster,/discuss/topic/27420/,22,15000
12313,Help with Load code,/discuss/topic/364824/,3,14956
46277,How do I make a leaderboard?,/discuss/topic/45568/,4,14807
38478,How can i make a floor that my Sprite wont go below?,/discuss/topic/5411/,37,14792
39143,How can I copy script from one Sprite onto another?,/discuss/topic/20187/,12,14660
37743,How to make a high score list?,/discuss/topic/20764/,57,14416
31508,How to change score?,/discuss/topic/20088/,13,14416
30434,I there a way to increase sprite movement speed as a certain score is reached?,/discuss/topic/33826/,25,14330
7680,how to change levels after reaching a certain score,/discuss/topic/49626/,53,14316
44301,How do you make an fps counter?,/discuss/topic/18037/,17,13879
25277,multiple sprites,/discuss/topic/9145/,11,13815
38516,How do I make sprites bounce off of walls?,/discuss/topic/66950/,9,13702
38468,How do I make sprites bounce off of walls?,/discuss/topic/66950/,9,13692
19694,Making sprites bounce off other sprites?,/discuss/topic/233831/,15,13678
25081,Transparent Background for Sprites,/discuss/topic/41312/,11,13422
10275,Making lives,/discuss/topic/24617/,29,13395
37477,Background music,/discuss/topic/27701/,16,13334
37698,how to combine two sprites?,/discuss/topic/28373/,12,13222
27060,How do you make a sprite stop another spirte from moving when it touches it?,/discuss/topic/9001/,16,13077
26147,HOW DO YOU INSERT VIDEOS INTO SCRATCH?!?,/discuss/topic/221289/,14,12659
44383,I need help with how to make my score work,/discuss/topic/20947/,34,12017
32436,how do you create the start button on a game,/discuss/topic/9206/,23,11714
41668,How Do You Make A Save Data System?!?!?!,/discuss/topic/67324/,14,11714
49157,How do I make a spaceship fire lasers?,/discuss/topic/26956/,19,11665
49093,How do I make a spaceship fire lasers?,/discuss/topic/26956/,19,11664
31743,Independet Clone Variables,/discuss/topic/4385/,19,11563
31678,Independet Clone Variables,/discuss/topic/4385/,19,11559
33789,making health go down,/discuss/topic/20600/,22,11248
33739,making health go down,/discuss/topic/20600/,22,11243
52388,How to Make a Sprite Call You By Your Name?,/discuss/topic/19786/,12,11082
47706,Stopping and solid objects,/discuss/topic/7434/,6,10915
50815,Can You Make An In Game Save Button?,/discuss/topic/11942/,9,10766
17394,How to End the Game After Reaching a Certain Score,/discuss/topic/201048/,18,10251
37770,Change Costume Randomly?,/discuss/topic/28330/,8,10206
40775,Making objects fall.,/discuss/topic/27618/,9,10076
10286,how do I make invisible sprites?,/discuss/topic/3235/,30,10054
41224,How do you put music to a project?,/discuss/topic/27018/,73,9894
43446,Merge two Scratch projects?,/discuss/topic/21443/,10,9765
38119,how to make a sprite attack another?,/discuss/topic/97834/,20,9734
38068,how to make a sprite attack another?,/discuss/topic/97834/,20,9732
41384,"How do you use the ""Mod"" Block?",/discuss/topic/135616/,7,9698
41465,How do I click on one sprite to make another sprite move?,/discuss/topic/37616/,9,9695
33926,Touching Color Sensor -- How to choose colors,/discuss/topic/42426/,14,9624
25635,"If two sprites touch, how do I make something happen?!",/discuss/topic/35531/,8,9597
9762,Start/End Screen,/discuss/topic/202070/,20,9546
22932,how to make sprite appear and disappear,/discuss/topic/179336/,13,9463
38335,How to make a math game?,/discuss/topic/75478/,4,9451
40634,How to make a random number generator that does not copy the same number,/discuss/topic/32122/,15,9448
31809,Losing Lives in my game.,/discuss/topic/46131/,13,9408
35952,How do you make text appear?,/discuss/topic/18358/,14,9364
23725,How do I stop the sprite from moving?,/discuss/topic/41665/,9,9068
13583,Resetting score,/discuss/topic/207739/,20,9045
13528,Resetting score,/discuss/topic/207739/,20,9042
25405,Need help with WASD directional movement.,/discuss/topic/3722/,18,9037
2117,the cloning tutorial: the basics of cloning.,/discuss/topic/65232/,66,9037
2047,the cloning tutorial: the basics of cloning.,/discuss/topic/65232/,66,9016
33728,"How do I make a sprite move when I click right, left, up, down key is clicked?",/discuss/topic/35339/,23,8914
33778,"How do I make a sprite move when I click right, left, up, down key is clicked?",/discuss/topic/35339/,23,8914
36644,Is It possible to hide the timer?,/discuss/topic/25354/,21,8891
33501,How do I make my sprite say something after it has touched another sprite?,/discuss/topic/31984/,35,8885
12701,how to make my character walk backwards,/discuss/topic/4816/,22,8819
12830,While Loop,/discuss/topic/22076/,8,8813
12760,While Loop,/discuss/topic/22076/,8,8808
25295,How do you make a character jump?,/discuss/topic/95312/,21,8801
27352,Tips on reducing lag in my project?,/discuss/topic/7151/,33,8729
32161,"If on edge, bounce...but not on the edge.",/discuss/topic/50111/,20,8702
22418,How to randomize things.,/discuss/topic/132964/,10,8665
25693,how to hide all sprites?,/discuss/topic/25695/,25,8648
10691,How do I make a hitbox?,/discuss/topic/23238/,28,8558
50294,Make one sprite disappear and other appear in its place,/discuss/topic/25208/,5,8558
10637,How do I make a hitbox?,/discuss/topic/23238/,28,8550
